Zip,Price,Area,Room,PriceSqm
1071 VE,550000.0,61,3,9016.393442622952
1051 LW,325000.0,41,2,7926.829268292683
1053 KS,250000.0,29,2,8620.689655172413
1056 NV,675000.0,109,3,6192.660550458716
1069 LD,295000.0,91,4,3241.7582417582416
1024 NB,350000.0,92,3,3804.3478260869565
1107 CM,375000.0,98,5,3826.530612244898
1055 PZ,360000.0,53,2,6792.452830188679
1035 VS,325000.0,85,4,3823.529411764706
1063 NA,250000.0,61,2,4098.360655737705
1095 DX,550000.0,102,3,5392.156862745098
1034 CG,325000.0,76,3,4276.315789473684
1095 EP,235000.0,26,2,9038.461538461539
1074 EE,450000.0,56,2,8035.714285714285
1106 CG,245000.0,71,3,3450.7042253521126
1077 SC,1400000.0,153,4,9150.32679738562
1031 KB,650000.0,90,3,7222.222222222223
1059 TG,465000.0,67,3,6940.298507462687
1077 KE,735000.0,104,3,7067.307692307692
1074 BC,675000.0,93,4,7258.064516129032
1061 BL,425000.0,78,2,5448.717948717948
1013 AW,635000.0,90,3,7055.555555555556
1053 KR,300000.0,35,1,8571.42857142857
1104 DB,375000.0,99,4,3787.878787878788
1072 SM,300000.0,35,2,8571.42857142857
1072 KJ,910000.0,136,5,6691.176470588235
1082 NT,385000.0,65,3,5923.076923076923
1053 HA,775000.0,93,3,8333.333333333334
1097 ZS,349500.0,51,3,6852.941176470588
1055 GL,375000.0,65,3,5769.2307692307695
1051 GJ,325000.0,41,2,7926.829268292683
1102 ZW,295000.0,89,4,3314.6067415730336
1055 NM,345000.0,50,2,6900.0
1068 CZ,325000.0,88,3,3693.181818181818
1107 KW,245000.0,73,3,3356.1643835616437
1072 NR,650000.0,70,3,9285.714285714286
1056 PW,450000.0,56,4,8035.714285714285
1104 HP,525000.0,176,5,2982.9545454545455
1068 WT,315000.0,81,3,3888.8888888888887
1032 AP,500000.0,83,4,6024.096385542169
1013 NM,285000.0,36,2,7916.666666666667
1012 JB,600000.0,116,4,5172.413793103448
1015 PS,425000.0,67,3,6343.2835820895525
1103 KG,225000.0,53,3,4245.2830188679245
1058 HB,440000.0,59,3,7457.627118644068
1019 KL,450000.0,85,3,5294.117647058823
1013 CS,425000.0,75,3,5666.666666666667
1102 TH,230000.0,60,2,3833.3333333333335
1018 PA,395000.0,69,3,5724.63768115942
1019 NC,550000.0,93,3,5913.978494623656
1102 JW,350000.0,93,3,3763.440860215054
1025 HD,335000.0,92,4,3641.304347826087
1034 MK,300000.0,92,4,3260.8695652173915
1106 BR,270000.0,84,3,3214.285714285714
1022 KJ,675000.0,136,5,4963.235294117647
1051 HX,450000.0,73,3,6164.3835616438355
1074 EH,450000.0,53,2,8490.566037735849
1031 VD,549000.0,101,4,5435.6435643564355
1102 WZ,265000.0,58,3,4568.9655172413795
1016 TZ,395000.0,42,2,9404.761904761905
1021 PJ,275000.0,42,2,6547.619047619048
1057 ZW,400000.0,61,2,6557.377049180328
1097 NX,450000.0,55,2,8181.818181818182
1012 RS,395000.0,63,2,6269.841269841269
1013 CA,335000.0,61,2,5491.803278688524
1093 DD,425000.0,82,3,5182.926829268293
1051 JZ,325000.0,35,2,9285.714285714286
1055 MB,590000.0,76,4,7763.1578947368425
1013 SZ,345000.0,48,2,7187.5
1033 CR,398011.0,61,3,6524.770491803279
1018 AD,900000.0,128,4,7031.25
1063 ED,400000.0,78,3,5128.205128205128
1077 KB,825000.0,100,3,8250.0
1095 MX,415000.0,69,3,6014.492753623188
1074 EE,685000.0,91,4,7527.472527472528
1057 SV,610000.0,77,4,7922.077922077922
1024 NZ,295000.0,59,3,5000.0
1093 GB,339000.0,47,2,7212.765957446809
1068 PJ,310000.0,78,3,3974.358974358974
1106 WV,395000.0,115,6,3434.782608695652
1094 GR,335000.0,49,2,6836.734693877551
1064 AG,275000.0,64,2,4296.875
1055 PE,425000.0,69,4,6159.420289855072
1103 NB,225000.0,54,2,4166.666666666667
1063 EK,500000.0,113,6,4424.778761061947
1104 HX,600000.0,159,6,3773.5849056603774
1051 NB,300000.0,41,2,7317.073170731707
1065 XX,350000.0,68,3,5147.058823529412
1060 SC,475000.0,106,5,4481.132075471698
1034 XC,510000.0,91,3,5604.395604395604
1102 VG,225000.0,60,2,3750.0
1018 VG,545000.0,61,2,8934.426229508197
1017 KP,550000.0,66,2,8333.333333333334
1102 TD,225000.0,43,2,5232.558139534884
1106 DS,320000.0,83,3,3855.421686746988
1055 DE,360000.0,49,3,7346.938775510204
1021 NN,475000.0,113,4,4203.539823008849
1056 BB,425000.0,62,3,6854.8387096774195
1082 GN,395000.0,81,3,4876.543209876543
1102 VJ,265000.0,71,3,3732.394366197183
1102 TT,230000.0,53,2,4339.622641509434
1032 HN,750000.0,116,4,6465.517241379311
